ProductID,Name,Category,Price,Stock,VendorID
P0001,score RoyalBlue,Category 20,909.17,98,V43
P0002,friend White,Category 15,169.96,113,V32
P0003,assume SkyBlue,Category 17,888.45,964,V36
P0004,commercial Tan,Category 17,6.13,470,V13
P0005,southern MintCream,Category 7,347.66,598,V42
P0006,majority Coral,Category 12,380.11,80,V18
P0007,fear HoneyDew,Category 15,640.58,7,V20
P0008,business Lime,Category 8,306.14,771,V02
P0009,modern Cornsilk,Category 9,716.65,742,V49
P0010,fast DarkGoldenRod,Category 12,347.84,236,V23
P0011,baby Orchid,Category 1,27.48,564,V44
P0012,to Thistle,Category 2,875.31,799,V02
P0013,board White,Category 11,586.12,153,V26
P0014,hundred HotPink,Category 16,264.99,593,V26
P0015,visit OrangeRed,Category 6,869.52,640,V50
P0016,information Turquoise,Category 11,941.18,69,V36
P0017,although Turquoise,Category 11,863.93,807,V20
P0018,style Linen,Category 3,459.2,690,V25
P0019,really CornflowerBlue,Category 12,11.52,82,V36
P0020,line OldLace,Category 2,248.41,14,V22
P0021,responsibility Cyan,Category 17,413.57,851,V43
P0022,according MediumSlateBlue,Category 11,876.01,745,V32
P0023,act Purple,Category 13,419.41,256,V23
P0024,service CornflowerBlue,Category 7,207.38,484,V01
P0025,culture ForestGreen,Category 17,68.29,987,V47
P0026,foreign YellowGreen,Category 9,495.37,605,V22
P0027,goal MidnightBlue,Category 4,205.7,969,V23
P0028,appear Green,Category 10,493.36,440,V11
P0029,organization DarkTurquoise,Category 13,966.31,125,V31
P0030,themselves NavajoWhite,Category 14,330.99,125,V01
P0031,us DeepSkyBlue,Category 11,752.73,760,V06
P0032,order DeepSkyBlue,Category 3,112.52,919,V37
P0033,number ForestGreen,Category 9,530.65,198,V35
P0034,indeed WhiteSmoke,Category 17,871.3,759,V38
P0035,sister LightYellow,Category 8,390.21,299,V41
P0036,necessary Turquoise,Category 4,675.41,160,V38
P0037,source GoldenRod,Category 10,368.19,359,V24
P0038,successful MediumPurple,Category 16,399.82,987,V17
P0039,consumer SlateGray,Category 5,22.06,96,V45
P0040,owner Tomato,Category 13,810.24,183,V40
P0041,matter PeachPuff,Category 7,120.37,58,V30
P0042,here Aquamarine,Category 1,781.48,453,V40
P0043,describe IndianRed,Category 8,364.72,295,V19
P0044,artist YellowGreen,Category 7,776.99,857,V48
P0045,fact LightBlue,Category 17,962.94,361,V25
P0046,media Crimson,Category 1,456.09,346,V47
P0047,TV Beige,Category 16,210.93,807,V01
P0048,start Wheat,Category 18,636.14,479,V02
P0049,energy SteelBlue,Category 5,930.59,889,V46
P0050,true LawnGreen,Category 3,976.8,105,V17
P0051,team Chartreuse,Category 8,645.62,509,V19
P0052,receive OldLace,Category 19,593.58,864,V25
P0053,end PapayaWhip,Category 6,359.1,887,V46
P0054,son Wheat,Category 14,379.8,337,V22
P0055,play GhostWhite,Category 10,915.67,135,V22
P0056,writer WhiteSmoke,Category 11,443.03,154,V35
P0057,by PaleVioletRed,Category 6,739.09,746,V06
P0058,clearly GreenYellow,Category 9,95.77,315,V47
P0059,dog AntiqueWhite,Category 13,793.06,176,V28
P0060,cell Linen,Category 4,972.42,560,V32
P0061,report DarkMagenta,Category 18,869.64,797,V48
P0062,perhaps Brown,Category 18,272.5,514,V31
P0063,against OldLace,Category 17,312.6,453,V43
P0064,recently Fuchsia,Category 18,704.94,461,V04
P0065,six Yellow,Category 19,307.36,797,V01
P0066,factor Coral,Category 13,586.44,495,V43
P0067,a AntiqueWhite,Category 18,558.19,154,V17
P0068,woman MediumTurquoise,Category 16,632.12,450,V13
P0069,finish DodgerBlue,Category 11,830.19,493,V49
P0070,after OrangeRed,Category 5,814.51,442,V14
P0071,home LightSkyBlue,Category 18,723.79,248,V22
P0072,lawyer DeepSkyBlue,Category 6,496.43,614,V19
P0073,third Beige,Category 7,561.28,890,V09
P0074,drug Turquoise,Category 11,703.65,619,V33
P0075,onto Red,Category 19,778.9,753,V25
P0076,stop LightCoral,Category 10,114.9,123,V07
P0077,hour Plum,Category 7,587.91,210,V22
P0078,senior Aqua,Category 8,677.5,659,V32
P0079,into OldLace,Category 7,653.29,656,V05
P0080,nearly Yellow,Category 4,40.01,415,V02
P0081,rock Teal,Category 14,499.29,144,V24
P0082,simple Magenta,Category 7,900.76,518,V33
P0083,account DarkGray,Category 6,444.16,53,V30
P0084,before Yellow,Category 19,682.35,197,V49
P0085,research LightGoldenRodYellow,Category 10,161.93,662,V42
P0086,both Turquoise,Category 20,731.13,427,V33
P0087,know Salmon,Category 4,289.16,41,V49
P0088,law Bisque,Category 15,925.36,331,V36
P0089,lead Turquoise,Category 16,252.14,66,V30
P0090,market LightSeaGreen,Category 19,644.72,354,V04
P0091,interview Plum,Category 4,688.97,624,V20
P0092,standard PaleVioletRed,Category 8,619.17,54,V29
P0093,style Cyan,Category 4,902.08,857,V46
P0094,us LightGray,Category 1,608.81,346,V43
P0095,agent Cyan,Category 8,808.25,106,V40
P0096,race Moccasin,Category 8,313.17,391,V12
P0097,act Red,Category 14,515.38,261,V23
P0098,effort DarkViolet,Category 12,308.23,39,V22
P0099,walk MediumTurquoise,Category 10,322.48,155,V21
P0100,because Plum,Category 9,466.64,502,V37
P0101,actually MediumSpringGreen,Category 10,596.95,647,V35
P0102,sit DarkSlateGray,Category 5,142.24,172,V12
P0103,this LightSteelBlue,Category 5,890.48,573,V44
P0104,Republican Black,Category 7,269.77,131,V25
P0105,remain MidnightBlue,Category 3,676.77,373,V03
P0106,agree Fuchsia,Category 19,198.98,994,V15
P0107,him OliveDrab,Category 1,507.18,563,V08
P0108,successful LemonChiffon,Category 7,518.19,839,V38
P0109,vote Chartreuse,Category 8,58.6,100,V26
P0110,meeting DarkTurquoise,Category 2,481.31,495,V36
P0111,change Maroon,Category 3,190.5,294,V05
P0112,system RosyBrown,Category 2,490.37,734,V25
P0113,reality Red,Category 13,252.73,42,V34
P0114,few Tomato,Category 15,522.34,464,V43
P0115,base SeaGreen,Category 9,688.73,836,V19
P0116,ball WhiteSmoke,Category 14,239.15,781,V36
P0117,while Brown,Category 6,798.69,284,V13
P0118,expect MediumAquaMarine,Category 9,538.77,469,V36
P0119,lose Violet,Category 12,339.15,916,V29
P0120,Democrat MediumAquaMarine,Category 15,654.59,421,V37
P0121,stand DeepSkyBlue,Category 6,467.79,775,V40
P0122,difference CornflowerBlue,Category 20,307.39,197,V21
P0123,meet Aquamarine,Category 8,710.94,818,V08
P0124,like Navy,Category 7,152.59,197,V32
P0125,kid Turquoise,Category 9,874.02,448,V06
P0126,already MintCream,Category 19,430.5,216,V08
P0127,option LimeGreen,Category 13,962.72,769,V46
P0128,within Linen,Category 12,692.71,555,V48
P0129,dinner MediumSpringGreen,Category 12,115.53,665,V15
P0130,prevent GoldenRod,Category 11,718.63,781,V04
P0131,none DeepSkyBlue,Category 20,113.96,597,V06
P0132,attack LightSkyBlue,Category 18,989.68,291,V35
P0133,little DarkMagenta,Category 12,203.55,725,V38
P0134,doctor CornflowerBlue,Category 19,673.14,229,V43
P0135,huge SandyBrown,Category 3,675.29,736,V22
P0136,series Aqua,Category 9,979.95,782,V07
P0137,everything LemonChiffon,Category 18,869.42,2,V10
P0138,land SeaShell,Category 10,310.52,816,V46
P0139,show LightCyan,Category 4,342.64,541,V35
P0140,week DarkKhaki,Category 1,694.15,695,V45
P0141,land Cyan,Category 5,612.08,526,V37
P0142,almost Red,Category 6,273.89,669,V05
P0143,figure DarkMagenta,Category 3,278.92,602,V40
P0144,generation Violet,Category 3,201.59,135,V45
P0145,east GhostWhite,Category 10,500.83,234,V31
P0146,traditional MidnightBlue,Category 15,421.53,202,V11
P0147,everybody Moccasin,Category 3,347.8,408,V48
P0148,industry SeaShell,Category 20,348.08,64,V39
P0149,good LightSeaGreen,Category 5,344.89,422,V06
P0150,really Lavender,Category 2,579.17,330,V15
P0151,often Coral,Category 13,317.21,666,V02
P0152,alone MediumTurquoise,Category 6,688.68,407,V01
P0153,large ForestGreen,Category 6,95.0,854,V48
P0154,minute Olive,Category 5,217.51,177,V20
P0155,scene Ivory,Category 12,814.09,45,V11
P0156,pattern DarkGray,Category 6,559.19,422,V18
P0157,environmental DarkBlue,Category 15,837.21,364,V50
P0158,worry Cornsilk,Category 7,404.91,80,V08
P0159,close SeaGreen,Category 6,755.45,544,V12
P0160,local DarkOrange,Category 14,504.0,733,V43
P0161,culture MistyRose,Category 5,438.61,906,V15
P0162,avoid BurlyWood,Category 7,625.33,244,V22
P0163,ahead LimeGreen,Category 9,235.36,446,V11
P0164,structure LightPink,Category 20,355.13,523,V42
P0165,common Magenta,Category 16,581.6,130,V26
P0166,religious MediumSpringGreen,Category 5,219.71,875,V44
P0167,rather SpringGreen,Category 16,281.76,856,V22
P0168,live SlateGray,Category 16,841.75,351,V33
P0169,agency DarkTurquoise,Category 9,98.76,235,V15
P0170,story Pink,Category 10,319.81,758,V24
P0171,sister Peru,Category 5,810.38,917,V09
P0172,unit LightSeaGreen,Category 9,481.87,6,V12
P0173,kind DarkRed,Category 1,682.47,479,V43
P0174,law Turquoise,Category 14,772.14,270,V21
P0175,east Aquamarine,Category 17,372.48,696,V22
P0176,local Yellow,Category 17,526.87,234,V50
P0177,meeting BlueViolet,Category 2,441.92,679,V16
P0178,prepare OldLace,Category 19,94.0,65,V41
P0179,democratic DarkOliveGreen,Category 15,868.39,534,V33
P0180,any Teal,Category 9,303.9,197,V13
P0181,describe LightBlue,Category 3,689.72,906,V49
P0182,special LightGreen,Category 20,65.81,991,V14
P0183,single MediumTurquoise,Category 17,152.86,257,V50
P0184,morning DimGray,Category 1,425.95,882,V28
P0185,side Bisque,Category 11,539.07,304,V25
P0186,father MediumSpringGreen,Category 19,124.65,417,V33
P0187,now MintCream,Category 6,764.97,51,V50
P0188,face LemonChiffon,Category 4,217.39,328,V40
P0189,few SeaGreen,Category 9,114.74,585,V44
P0190,themselves Coral,Category 14,102.99,458,V47
P0191,boy GhostWhite,Category 17,480.56,918,V48
P0192,campaign LightPink,Category 14,196.44,572,V42
P0193,say Lavender,Category 18,933.51,934,V18
P0194,miss IndianRed,Category 7,639.85,570,V05
P0195,gas Peru,Category 19,951.7,173,V15
P0196,final CornflowerBlue,Category 14,199.05,215,V33
P0197,specific SeaShell,Category 7,900.74,334,V33
P0198,big LightSeaGreen,Category 15,983.61,397,V23
P0199,space PaleVioletRed,Category 7,281.26,803,V05
P0200,store DarkBlue,Category 4,806.91,500,V12
